date,datetime,open,high,low,close,volume,symbol
2019-09-20,2019-09-20T09:01:00+0900,18400,18400,18300,18400,81,049960
2019-09-20,2019-09-20T09:02:00+0900,18400,18400,18300,18400,0,049960
2019-09-20,2019-09-20T09:03:00+0900,18400,18400,18300,18400,0,049960
2019-09-20,2019-09-20T09:04:00+0900,18400,18400,18300,18400,0,049960
2019-09-20,2019-09-20T09:05:00+0900,18400,18400,18300,18400,0,049960
2019-09-20,2019-09-20T09:06:00+0900,18400,18400,18300,18400,0,049960
2019-09-20,2019-09-20T09:07:00+0900,18400,18400,18300,18400,0,049960
2019-09-20,2019-09-20T09:08:00+0900,18400,18400,18300,18400,0,049960
2019-09-20,2019-09-20T09:09:00+0900,18400,18400,18300,18400,0,049960
2019-09-20,2019-09-20T09:10:00+0900,18400,18400,18300,18400,0,049960
2019-09-20,2019-09-20T09:11:00+0900,18300,18300,18300,18300,397,049960
2019-09-20,2019-09-20T09:12:00+0900,18300,18300,18300,18300,0,049960
2019-09-20,2019-09-20T09:13:00+0900,18300,18300,18300,18300,0,049960
2019-09-20,2019-09-20T09:14:00+0900,18300,18300,18300,18300,0,049960
2019-09-20,2019-09-20T09:15:00+0900,18300,18300,18250,18250,239,049960
2019-09-20,2019-09-20T09:16:00+0900,18200,18200,18100,18100,791,049960
2019-09-20,2019-09-20T09:17:00+0900,18200,18200,18100,18100,0,049960
2019-09-20,2019-09-20T09:18:00+0900,18250,18250,18250,18250,5,049960
2019-09-20,2019-09-20T09:19:00+0900,18250,18250,18250,18250,2,049960
2019-09-20,2019-09-20T09:20:00+0900,18250,18250,18250,18250,0,049960
2019-09-20,2019-09-20T09:21:00+0900,18250,18250,18250,18250,0,049960
2019-09-20,2019-09-20T09:22:00+0900,18250,18250,18250,18250,0,049960
2019-09-20,2019-09-20T09:23:00+0900,18250,18250,18250,18250,0,049960
2019-09-20,2019-09-20T09:24:00+0900,18250,18250,18200,18200,15,049960
2019-09-20,2019-09-20T09:25:00+0900,18250,18250,18200,18200,0,049960
2019-09-20,2019-09-20T09:26:00+0900,18200,18200,18200,18200,5,049960
2019-09-20,2019-09-20T09:27:00+0900,18200,18200,18200,18200,15,049960
2019-09-20,2019-09-20T09:28:00+0900,18200,18200,18200,18200,0,049960
2019-09-20,2019-09-20T09:29:00+0900,18250,18250,18250,18250,76,049960
2019-09-20,2019-09-20T09:30:00+0900,18200,18200,18200,18200,1,049960
2019-09-20,2019-09-20T09:31:00+0900,18150,18150,18150,18150,10,049960
2019-09-20,2019-09-20T09:32:00+0900,18150,18150,18150,18150,0,049960
2019-09-20,2019-09-20T09:33:00+0900,18150,18150,18150,18150,0,049960
2019-09-20,2019-09-20T09:34:00+0900,18150,18150,18150,18150,36,049960
2019-09-20,2019-09-20T09:35:00+0900,18150,18150,18150,18150,0,049960
2019-09-20,2019-09-20T09:36:00+0900,18150,18150,18150,18150,100,049960
2019-09-20,2019-09-20T09:37:00+0900,18150,18150,18150,18150,0,049960
2019-09-20,2019-09-20T09:38:00+0900,18100,18100,18100,18100,112,049960
2019-09-20,2019-09-20T09:39:00+0900,18100,18100,18100,18100,127,049960
2019-09-20,2019-09-20T09:40:00+0900,18100,18100,18100,18100,25,049960
2019-09-20,2019-09-20T09:41:00+0900,18100,18100,18100,18100,0,049960
2019-09-20,2019-09-20T09:42:00+0900,18100,18100,18100,18100,0,049960
2019-09-20,2019-09-20T09:43:00+0900,18100,18100,18100,18100,0,049960
2019-09-20,2019-09-20T09:44:00+0900,18150,18150,18150,18150,22,049960
2019-09-20,2019-09-20T09:45:00+0900,18150,18150,18150,18150,100,049960
2019-09-20,2019-09-20T09:46:00+0900,18150,18150,18150,18150,10,049960
