date,datetime,open,high,low,close,volume,symbol
2019-09-20,2019-09-20T09:01:00+0900,6830,6830,6830,6830,38,084690
2019-09-20,2019-09-20T09:02:00+0900,6870,6870,6870,6870,1,084690
2019-09-20,2019-09-20T09:03:00+0900,6870,6870,6870,6870,156,084690
2019-09-20,2019-09-20T09:04:00+0900,6910,6910,6870,6870,22,084690
2019-09-20,2019-09-20T09:05:00+0900,6870,6870,6870,6870,12,084690
2019-09-20,2019-09-20T09:06:00+0900,6870,6870,6870,6870,0,084690
2019-09-20,2019-09-20T09:07:00+0900,6870,6870,6870,6870,0,084690
2019-09-20,2019-09-20T09:08:00+0900,6890,6890,6890,6890,1,084690
2019-09-20,2019-09-20T09:09:00+0900,6890,6890,6890,6890,4,084690
2019-09-20,2019-09-20T09:10:00+0900,6890,6890,6890,6890,0,084690
2019-09-20,2019-09-20T09:11:00+0900,6890,6890,6890,6890,0,084690
2019-09-20,2019-09-20T09:12:00+0900,6890,6890,6890,6890,0,084690
2019-09-20,2019-09-20T09:13:00+0900,6890,6890,6890,6890,0,084690
2019-09-20,2019-09-20T09:14:00+0900,6890,6890,6890,6890,0,084690
2019-09-20,2019-09-20T09:15:00+0900,6890,6890,6890,6890,1006,084690
2019-09-20,2019-09-20T09:16:00+0900,6890,6890,6890,6890,26,084690
2019-09-20,2019-09-20T09:17:00+0900,6850,6850,6830,6830,22,084690
2019-09-20,2019-09-20T09:18:00+0900,6890,6890,6820,6820,33,084690
2019-09-20,2019-09-20T09:19:00+0900,6820,6820,6820,6820,55,084690
2019-09-20,2019-09-20T09:20:00+0900,6820,6820,6820,6820,0,084690
2019-09-20,2019-09-20T09:21:00+0900,6820,6820,6820,6820,0,084690
2019-09-20,2019-09-20T09:22:00+0900,6880,6880,6880,6880,1,084690
2019-09-20,2019-09-20T09:23:00+0900,6880,6880,6880,6880,0,084690
2019-09-20,2019-09-20T09:24:00+0900,6880,6880,6880,6880,0,084690
2019-09-20,2019-09-20T09:25:00+0900,6840,6840,6840,6840,73,084690
2019-09-20,2019-09-20T09:26:00+0900,6840,6840,6840,6840,0,084690
2019-09-20,2019-09-20T09:27:00+0900,6840,6840,6840,6840,0,084690
2019-09-20,2019-09-20T09:28:00+0900,6840,6840,6840,6840,0,084690
2019-09-20,2019-09-20T09:29:00+0900,6840,6840,6840,6840,0,084690
2019-09-20,2019-09-20T09:30:00+0900,6840,6840,6840,6840,0,084690
2019-09-20,2019-09-20T09:31:00+0900,6840,6840,6840,6840,0,084690
2019-09-20,2019-09-20T09:32:00+0900,6870,6870,6870,6870,1,084690
2019-09-20,2019-09-20T09:33:00+0900,6870,6870,6870,6870,1,084690
2019-09-20,2019-09-20T09:34:00+0900,6870,6870,6870,6870,0,084690
2019-09-20,2019-09-20T09:35:00+0900,6850,6850,6840,6840,104,084690
2019-09-20,2019-09-20T09:36:00+0900,6850,6850,6840,6840,0,084690
2019-09-20,2019-09-20T09:37:00+0900,6850,6850,6840,6840,0,084690
2019-09-20,2019-09-20T09:38:00+0900,6850,6850,6840,6840,0,084690
2019-09-20,2019-09-20T09:39:00+0900,6850,6850,6840,6840,0,084690
2019-09-20,2019-09-20T09:40:00+0900,6850,6850,6840,6840,0,084690
2019-09-20,2019-09-20T09:41:00+0900,6850,6850,6840,6840,0,084690
